YearBuilt,Size(sqf),Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_manager,N_elevators,N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),price_class,HallwayType_corridor,HallwayType_mixed,HallwayType_terraced,HeatingType_central_heating,HeatingType_individual_heating,AptManageType_management_in_trust,AptManageType_self_management,SubwayStation_Bangoge,SubwayStation_Banwoldang,SubwayStation_Chil-sung-market,SubwayStation_Daegu,SubwayStation_Kyungbuk_uni_hospital,SubwayStation_Myung-duk,SubwayStation_Sin-nam,SubwayStation_no_subway_nearby
0.5135135135135158,-0.3832879200726612,-0.9047619047619049,-0.6886395511921459,-0.7214231642694928,1.0,-0.5,-0.6923076923076922,-1.0,-0.11111111111111116,-0.25,0.05882352941176472,1,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False
-0.6216216216216139,-0.589464123524069,-0.6666666666666667,-0.7755960729312763,-0.8849356548069645,-1.0,0.5,-0.846153846153846,-0.8518518518518519,-0.5555555555555557,0.5,-0.5294117647058824,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
-0.6216216216216139,-0.589464123524069,-0.761904761904762,-0.7755960729312763,-0.8849356548069645,-1.0,0.5,-0.846153846153846,-0.8518518518518519,-0.5555555555555557,0.5,-0.5294117647058824,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
0.5135135135135158,0.7447774750227067,-0.6666666666666667,-0.30154277699859744,-0.1884935654806964,-1.0,-1.0,-0.38461538461538447,-0.18518518518518523,-0.11111111111111116,-0.625,-0.17647058823529416,2,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False
-0.2432432432432421,-0.5376930063578564,-0.9523809523809524,-0.6016830294530154,-0.8803936411809236,1.0,0.0,-0.5384615384615383,-0.40740740740740744,-0.5555555555555557,0.125,0.6470588235294117,0,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
-0.18918918918917882,-0.5376930063578564,-0.5714285714285715,0.4670406732117811,-0.1884935654806964,-1.0,0.0,0.0769230769230771,0.4814814814814814,-0.3333333333333335,0.75,1.0,0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
-0.18918918918917882,-0.5376930063578564,-0.9047619047619049,0.4670406732117811,-0.1884935654806964,-1.0,0.0,0.0769230769230771,0.4814814814814814,-0.3333333333333335,0.75,1.0,0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
-0.2432432432432421,-0.5376930063578564,-0.4285714285714286,-0.6016830294530154,-0.8803936411809236,1.0,0.0,-0.5384615384615383,-0.40740740740740744,-0.5555555555555557,0.125,0.6470588235294117,0,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
-0.5675675675675649,0.12806539509536785,-0.8571428571428572,1.0,-1.0,-1.0,-0.5,0.0769230769230771,1.0,-0.3333333333333335,0.125,-0.2941176470588236,1,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False
-0.5675675675675649,-0.2924613987284287,-0.523809523809524,1.0,-1.0,-1.0,-0.5,0.0769230769230771,1.0,-0.3333333333333335,0.125,-0.2941176470588236,1,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False
-0.6216216216216139,-0.589464123524069,-0.7142857142857144,-0.7755960729312763,-0.8849356548069645,-1.0,0.5,-0.846153846153846,-0.8518518518518519,-0.5555555555555557,0.5,-0.5294117647058824,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
-0.2432432432432421,-0.5994550408719346,-0.8095238095238095,-0.43899018232819076,-1.0,1.0,-0.5,-0.38461538461538447,-0.2592592592592593,-0.5555555555555557,1.0,1.0,0,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False
-0.18918918918917882,0.19527702089010002,-1.0,0.4670406732117811,-0.1884935654806964,-1.0,0.0,0.0769230769230771,0.4814814814814814,-0.3333333333333335,0.75,1.0,1,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
-0.18918918918917882,-0.5376930063578564,-0.09523809523809534,0.4670406732117811,-0.1884935654806964,-1.0,0.0,0.0769230769230771,0.4814814814814814,-0.3333333333333335,0.75,1.0,0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
0.5675675675675791,-0.3342415985467756,-0.19047619047619058,-1.0,0.9227857683573051,-1.0,-1.0,1.0000000000000004,0.18518518518518512,1.0,0.125,0.17647058823529416,1,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False
-0.5675675675675649,-0.0953678474114441,-0.7142857142857144,1.0,-1.0,-1.0,-0.5,0.0769230769230771,1.0,-0.3333333333333335,0.125,-0.2941176470588236,1,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False
0.5675675675675791,-0.3342415985467756,-0.4761904761904763,-1.0,0.9227857683573051,-1.0,-1.0,1.0000000000000004,0.18518518518518512,1.0,0.125,0.17647058823529416,1,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False
0.5675675675675791,-0.3342415985467756,-0.9047619047619049,-1.0,0.9227857683573051,-1.0,-1.0,1.0000000000000004,0.18518518518518512,1.0,0.125,0.17647058823529416,1,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False
0.5675675675675791,0.36966394187102636,0.8095238095238093,-1.0,0.9227857683573051,-1.0,-1.0,1.0000000000000004,0.18518518518518512,1.0,0.125,0.17647058823529416,2,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False
